 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
Reporting period: July - September 2023,,,,,,,,,,
(s): 30 or fewer properties sold; (-): 10 or fewer properties sold,,,,,,,,,,
Read explanatory notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Postcode,Dwelling Type,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2102,Strata,1149,1255,1540,1320,s,-10.36%,3.72%,25.00%,15.38%
2103,Total,1965,2160,2680,2280,46,1.29%,8.00%,9.52%,24.32%
2103,Non Strata,2155,2273,3144,2676,s,1.00%,5.70%,13.04%,36.84%
2103,Strata,1319,1930,2040,1764,s,26.97%,28.67%,5.26%,11.11%
2104,Total,-,-,-,-,-,-,-,-,-
2104,Non Strata,-,-,-,-,-,-,-,-,-
2105,Total,-,-,-,-,-,-,-,-,-
2105,Non Strata,-,-,-,-,-,-,-,-,-
2106,Total,1400,2105,2850,2192,33,19.60%,12.57%,-19.51%,13.79%
2106,Non Strata,2105,2510,3175,2739,s,-19.03%,11.06%,31.25%,40.00%
2106,Strata,870,1118,1488,1236,s,-14.04%,0.00%,-52.00%,-14.29%
2107,Total,2100,2530,3200,2562,69,0.40%,5.42%,0.00%,16.95%
2107,Non Strata,2425,2800,3450,2974,53,3.70%,8.32%,-3.64%,12.77%
2107,Strata,800,1035,1395,1194,s,-32.68%,-34.70%,14.29%,33.33%
2108,Total,-,-,-,-,-,-,-,-,-
2108,Non Strata,-,-,-,-,-,-,-,-,-
2110,Total,996,1850,3838,2624,35,-41.18%,-44.36%,-25.53%,20.69%
2110,Non Strata,3265,4050,5150,4506,s,-6.36%,-6.36%,-44.44%,-25.00%
2110,Strata,868,1088,1365,1212,s,16.06%,25.72%,0.00%,122.22%
2111,Total,753,1100,2590,1737,88,-8.33%,-0.44%,1.15%,57.14%
2111,Non Strata,2408,2790,3253,2944,36,8.56%,7.72%,-2.70%,80.00%
2111,Strata,684,788,981,901,52,2.01%,-8.37%,4.00%,44.44%
2112,Total,707,870,2016,1339,224,-2.79%,-6.20%,1.82%,23.08%
2112,Non Strata,2170,2466,2790,2515,69,-2.51%,8.63%,-4.17%,23.21%
2112,Strata,638,760,883,815,155,4.83%,1.20%,4.73%,23.02%
2113,Total,796,1250,2735,10745,303,30.21%,24.38%,37.10%,89.38%
2113,Non Strata,2105,2257,2573,2313,42,-4.59%,8.07%,10.53%,16.67%
2113,Strata,766,1080,43000,12102,261,19.87%,27.06%,42.62%,110.48%
2114,Total,631,840,2049,1284,114,0.90%,1.82%,14.00%,10.68%
2114,Non Strata,2044,2210,2450,2238,40,-3.45%,7.80%,25.00%,21.21%
2114,Strata,585,736,833,769,74,9.37%,17.02%,8.82%,5.71%
2115,Total,910,1550,1878,1457,46,0.00%,9.93%,39.39%,21.05%
2115,Non Strata,1661,1870,2019,1839,s,7.22%,12.65%,27.27%,12.00%
2115,Strata,717,774,993,861,s,10.41%,12.09%,63.64%,38.46%
2116,Total,672,826,1673,1121,32,-49.51%,-37.46%,0.00%,3.23%
2116,Non Strata,1625,1680,1880,1729,s,-5.35%,12.37%,-45.83%,-35.00%
2116,Strata,635,687,733,705,s,-12.09%,-9.61%,137.50%,72.73%
2117,Total,859,1415,1700,1309,98,-6.07%,-1.39%,19.51%,53.13%
2117,Non Strata,1597,1700,1900,1748,50,-2.86%,8.63%,6.38%,13.64%
2117,Strata,614,843,1085,852,48,-1.00%,13.77%,37.14%,140.00%
2118,Total,675,923,1940,1296,134,2.50%,-31.67%,-0.74%,69.62%
2118,Non Strata,1719,2070,2300,2050,55,-3.27%,16.29%,3.77%,34.15%
2118,Strata,639,700,845,770,79,2.34%,8.53%,-3.66%,107.89%
2119,Total,1948,2380,2700,2237,49,0.63%,15.93%,36.11%,22.50%
2119,Non Strata,2200,2501,2799,2571,38,-0.18%,12.38%,22.58%,31.03%
2119,Strata,735,815,1525,1083,s,14.47%,8.67%,120.00%,0.00%
2120,Total,1525,1820,2160,1738,71,1.11%,16.48%,0.00%,18.33%
2120,Non Strata,1714,1996,2200,1974,54,5.83%,16.55%,8.00%,22.73%
2120,Strata,680,835,1258,986,s,1.83%,4.37%,-19.05%,6.25%
2121,Total,749,870,2130,1524,205,-0.17%,1.75%,28.13%,58.91%
2121,Non Strata,2223,2465,2933,2593,50,4.45%,16.94%,13.64%,16.28%
2121,Strata,720,808,977,1180,155,5.28%,9.19%,33.62%,80.23%
2122,Total,860,1465,2425,1655,135,-22.28%,35.02%,9.76%,56.98%
2122,Non Strata,2341,2515,2765,2578,56,4.47%,7.82%,-9.68%,47.37%
2122,Strata,742,890,1268,1001,79,-3.26%,15.58%,29.51%,64.58%
2125,Total,1984,2189,2714,2355,40,-6.84%,-8.78%,-9.09%,37.93%
2125,Non Strata,2000,2239,2742,2414,38,-8.51%,-7.56%,0.00%,35.71%
2125,Strata,-,-,-,-,-,-,-,-,-
2126,Total,1873,2231,2398,2119,42,-1.76%,14.35%,-22.22%,5.00%
2126,Non Strata,1900,2280,2419,2219,37,-2.56%,11.22%,-17.78%,5.71%
2126,Strata,-,-,-,-,-,-,-,-,-
2127,Total,669,768,812,795,216,2.33%,1.66%,12.50%,30.91%
2127,Non Strata,1482,1620,1680,1596,s,-2.70%,2.21%,160.00%,160.00%
2127,Strata,655,755,800,744,203,0.67%,0.67%,8.56%,26.88%
2128,Total,558,795,1060,873,s,-52.30%,8.31%,650.00%,200.00%
2128,Non Strata,-,-,-,-,-,-,-,-,-
2128,Strata,549,743,898,837,s,,16.04%,,366.67%
2130,Total,880,1210,2138,1514,31,12.82%,-1.63%,-3.12%,-6.06%
2130,Non Strata,2100,2201,2610,2321,s,1.78%,-17.69%,30.00%,30.00%
2130,Strata,826,898,1154,931,s,-0.69%,6.21%,-18.18%,-21.74%
2131,Total,700,800,960,962,143,-9.19%,7.53%,30.00%,62.50%
2131,Non Strata,1806,2110,2289,2058,s,2.68%,18.54%,-25.93%,17.65%
2131,Strata,683,774,880,784,123,0.52%,8.25%,48.19%,73.24%
2132,Total,790,1485,2487,1687,s,-7.65%,-0.07%,20.83%,31.82%
2132,Non Strata,1775,2400,2750,2317,s,16.65%,35.94%,21.43%,41.67%
2132,Strata,621,723,825,795,s,17.48%,2.85%,20.00%,20.00%
2133,Total,695,1170,1750,1321,37,-4.65%,-13.01%,2.78%,5.71%
2133,Non Strata,1663,1756,2239,1925,s,-10.11%,9.55%,0.00%,0.00%
2133,Strata,565,695,913,748,s,12.46%,14.88%,5.56%,11.76%
2134,Total,801,974,1190,1318,98,-10.23%,-5.48%,-3.92%,6.52%
2134,Non Strata,2416,2846,3715,3079,s,18.04%,15.93%,28.57%,0.00%
2134,Strata,770,903,1063,921,80,-11.52%,-2.06%,-9.09%,8.11%
2135,Total,685,1186,3160,2010,109,-3.18%,38.39%,41.56%,17.20%
